spotify_id,artist_name,event_date,venue_name,venue_city,venue_country,event_url,ticket_url,ticket_status,start_time,timezone
5F0iFhw7bZE7a8INjualJn,Braza,2022-08-7,Gramado da Funarte,Brasília,Brazil,https://www.bandsintown.com/z/103582004-braza-at-gramado-da-funarte?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103582004-braza-at-gramado-da-funarte?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-08-07T19:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-07-30,Cultural Bar,Juiz de Fora,Brazil,https://www.bandsintown.com/z/103459510-braza-at-cultural-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103459510-braza-at-cultural-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-07-30T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-07-29,A Autêntica,Belo Horizonte,Brazil,https://www.bandsintown.com/z/103459505-braza-at-a-autentica?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103459505-braza-at-a-autentica?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-07-29T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-07-22,Circo Voador,Rio de Janeiro,Brazil,https://www.bandsintown.com/z/103459453-braza-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103459453-braza-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-07-22T21:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-06-11,PARQUE PERMANENTE DE EXPOSIÇÕES DE RIBEIRÃO PRETO,Ribeirão Preto,Brazil,https://www.bandsintown.com/z/103459445-braza-at-parque-permanente-de-exposicoes-de-ribeirao-preto?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103459445-braza-at-parque-permanente-de-exposicoes-de-ribeirao-preto?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-06-11T12:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-06-10,Brasuca,Campinas,Brazil,https://www.bandsintown.com/z/103458849-braza-at-brasuca?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103458849-braza-at-brasuca?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-06-10T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-06-5,Estelita Bar,Recife,Brazil,https://www.bandsintown.com/z/103458833-braza-at-estelita-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103458833-braza-at-estelita-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-06-05T17:00:00,America/Recife
5F0iFhw7bZE7a8INjualJn,Braza,2022-06-4,Espaço Armazém,Maceió,Brazil,https://www.bandsintown.com/z/103458818-braza-at-espaco-armazem?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103458818-braza-at-espaco-armazem?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-06-04T22:00:00,America/Maceio
5F0iFhw7bZE7a8INjualJn,Braza,2020-02-7,Carioca Club Pinheiros,Sao Paulo,Brazil,https://www.bandsintown.com/z/1018423383-braza-at-carioca-club-pinheiros?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1018423383-braza-at-carioca-club-pinheiros?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2020-02-07T01:00:00,America/Manaus
5F0iFhw7bZE7a8INjualJn,Braza,2019-12-31,Monarch,San Francisco,CA,https://www.bandsintown.com/z/1018041468-braza-at-monarch?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1018041468-braza-at-monarch?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-12-31T21:00:00,America/Los_Angeles
